Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Unit Price,Quantity,Discount,Total Sales,Profit
2974,2021-01-05,2021-01-07,First Class,C-4464,Customer C-4464,Consumer,Ohio City 3,Ohio,East,Technology,Copiers,Value Copiers 790,1392.97,1,0.1,1253.67,280.0
12404,2021-01-05,2021-01-10,Standard Class,C-4787,Customer C-4787,Consumer,North Carolina City 2,North Carolina,South,Office Supplies,Accessories,Best Accessories 302,6.73,4,0.0,26.92,5.42
14629,2021-01-05,2021-01-08,Second Class,C-4641,Customer C-4641,Consumer,Washington City 1,Washington,West,Furniture,Chairs,Premium Chairs 434,718.22,5,0.0,3591.1,867.07
12695,2021-01-05,2021-01-07,Second Class,C-2636,Customer C-2636,Home Office,Tennessee City 2,Tennessee,South,Furniture,Tables,Premium Tables 397,668.0,8,0.0,5344.0,1955.58
14499,2021-01-05,2021-01-08,First Class,C-4478,Customer C-4478,Corporate,New York City 1,New York,East,Home & Garden,Kitchenware,Premium Kitchenware 538,216.23,5,0.2,864.92,109.89
3738,2021-01-05,2021-01-07,First Class,C-1303,Customer C-1303,Consumer,Florida City 4,Florida,South,Home & Garden,Plants,Best Plants 828,239.87,5,0.0,1199.35,398.43
5848,2021-01-06,2021-01-09,Standard Class,C-1456,Customer C-1456,Corporate,Arizona City 2,Arizona,West,Clothing,Jackets,Global Jackets 954,116.43,9,0.3,733.51,-3.42
5260,2021-01-06,2021-01-07,First Class,C-4866,Customer C-4866,Home Office,Florida City 4,Florida,South,Clothing,Trousers,Global Trousers 271,104.54,1,0.3,73.18,-4.13
3101,2021-01-06,2021-01-08,First Class,C-1854,Customer C-1854,Consumer,California City 4,California,West,Furniture,Chairs,Best Chairs 270,792.8,3,0.0,2378.4,683.05
10724,2021-01-06,2021-01-10,First Class,C-2493,Customer C-2493,Consumer,Arizona City 4,Arizona,West,Home & Garden,Garden Tools,Premium Garden Tools 462,153.15,7,0.0,1072.05,374.56
6243,2021-01-06,2021-01-06,Same Day,C-1907,Customer C-1907,Consumer,New York City 3,New York,East,Home & Garden,Decor,Global Decor 802,130.01,7,0.0,910.07,228.77
7127,2021-01-06,2021-01-07,Second Class,C-3161,Customer C-3161,Consumer,Texas City 2,Texas,Central,Technology,Copiers,Value Copiers 112,532.91,5,0.4,1598.73,-264.52
7612,2021-01-06,2021-01-06,First Class,C-4937,Customer C-4937,Consumer,Florida City 2,Florida,South,Clothing,Trousers,Premium Trousers 719,114.85,8,0.0,918.8,274.39
3591,2021-01-07,2021-01-07,Second Class,C-4793,Customer C-4793,Consumer,Illinois City 2,Illinois,Central,Furniture,Tables,Acme Tables 119,932.69,3,0.0,2798.07,941.07
6106,2021-01-07,2021-01-09,First Class,C-4369,Customer C-4369,Consumer,Indiana City 3,Indiana,Central,Home & Garden,Plants,Premium Plants 786,102.26,4,0.0,409.04,140.32
9105,2021-01-07,2021-01-08,Standard Class,C-3333,Customer C-3333,Consumer,Tennessee City 1,Tennessee,South,Furniture,Chairs,Best Chairs 631,355.06,8,0.0,2840.48,977.95
10281,2021-01-07,2021-01-08,First Class,C-4716,Customer C-4716,Corporate,Pennsylvania City 4,Pennsylvania,East,Technology,Machines,Global Machines 381,1795.45,8,0.0,14363.6,3877.62
8622,2021-01-08,2021-01-08,First Class,C-4498,Customer C-4498,Consumer,New York City 2,New York,East,Office Supplies,Envelopes,Premium Envelopes 571,28.24,4,0.0,112.96,27.16
12175,2021-01-08,2021-01-10,Standard Class,C-1308,Customer C-1308,Corporate,Indiana City 3,Indiana,Central,Home & Garden,Garden Tools,Acme Garden Tools 119,187.45,1,0.1,168.7,50.44
5277,2021-01-08,2021-01-13,Second Class,C-3193,Customer C-3193,Consumer,Massachusetts City 1,Massachusetts,East,Clothing,Trousers,Best Trousers 103,48.95,9,0.5,220.28,-46.65
11897,2021-01-08,2021-01-09,First Class,C-1061,Customer C-1061,Home Office,North Carolina City 2,North Carolina,South,Home & Garden,Plants,Best Plants 633,241.08,8,0.0,1928.64,638.33
10929,2021-01-08,2021-01-09,First Class,C-1139,Customer C-1139,Consumer,Arizona City 2,Arizona,West,Home & Garden,Kitchenware,Global Kitchenware 914,283.51,5,0.2,1134.04,103.03
13952,2021-01-08,2021-01-13,First Class,C-1926,Customer C-1926,Consumer,Ohio City 4,Ohio,East,Home & Garden,Garden Tools,Acme Garden Tools 328,239.15,8,0.4,1147.92,-62.69
4697,2021-01-08,2021-01-11,First Class,C-3780,Customer C-3780,Consumer,Indiana City 2,Indiana,Central,Office Supplies,Storage,Global Storage 337,60.4,8,0.0,483.2,173.66
6682,2021-01-09,2021-01-11,Standard Class,C-1807,Customer C-1807,Corporate,Indiana City 4,Indiana,Central,Office Supplies,Appliances,Acme Appliances 308,72.85,8,0.0,582.8,118.04
13480,2021-01-09,2021-01-09,Standard Class,C-3293,Customer C-3293,Home Office,New York City 1,New York,East,Furniture,Chairs,Best Chairs 292,204.97,7,0.2,1147.83,139.67
2779,2021-01-09,2021-01-12,Same Day,C-2306,Customer C-2306,Corporate,Washington City 4,Washington,West,Office Supplies,Storage,Acme Storage 705,97.34,5,0.0,486.7,128.13
10152,2021-01-09,2021-01-09,First Class,C-3791,Customer C-3791,Consumer,Florida City 1,Florida,South,Technology,Machines,Value Machines 416,876.22,6,0.0,5257.32,1147.32
10327,2021-01-09,2021-01-12,First Class,C-2758,Customer C-2758,Consumer,Tennessee City 4,Tennessee,South,Office Supplies,Labels,Value Labels 307,88.29,3,0.0,264.87,58.59
3205,2021-01-09,2021-01-13,Same Day,C-3834,Customer C-3834,Corporate,Arizona City 3,Arizona,West,Office Supplies,Art,Value Art 142,17.95,8,0.0,143.6,41.4
11194,2021-01-09,2021-01-12,First Class,C-1866,Customer C-1866,Corporate,California City 1,California,West,Technology,Accessories,Acme Accessories 315,1136.3,2,0.0,2272.6,838.67
6592,2021-01-09,2021-01-09,Second Class,C-4477,Customer C-4477,Consumer,Michigan City 4,Michigan,Central,Clothing,Jackets,Premium Jackets 334,111.83,6,0.5,335.49,-72.88
438,2021-01-09,2021-01-13,First Class,C-4932,Customer C-4932,Consumer,Massachusetts City 2,Massachusetts,East,Home & Garden,Plants,Acme Plants 242,191.76,4,0.4,460.22,-9.38
1765,2021-01-09,2021-01-13,Second Class,C-4047,Customer C-4047,Home Office,New York City 1,New York,East,Office Supplies,Appliances,Acme Appliances 949,12.01,7,0.0,84.07,21.05
6200,2021-01-09,2021-01-10,Standard Class,C-3459,Customer C-3459,Consumer,Pennsylvania City 4,Pennsylvania,East,Home & Garden,Decor,Acme Decor 643,189.28,7,0.4,794.98,-124.88
2349,2021-01-10,2021-01-13,Second Class,C-4410,Customer C-4410,Consumer,Oregon City 2,Oregon,West,Clothing,Dresses,Value Dresses 301,63.18,4,0.0,252.72,87.44
13650,2021-01-10,2021-01-12,Standard Class,C-4815,Customer C-4815,Corporate,Florida City 1,Florida,South,Clothing,Dresses,Acme Dresses 105,144.21,7,0.0,1009.47,245.46
14131,2021-01-10,2021-01-10,Standard Class,C-4513,Customer C-4513,Consumer,New York City 2,New York,East,Home & Garden,Plants,Best Plants 625,174.36,7,0.3,854.36,60.93
1851,2021-01-10,2021-01-12,Standard Class,C-1206,Customer C-1206,Home Office,Michigan City 4,Michigan,Central,Technology,Phones,Global Phones 106,1963.68,9,0.0,17673.12,6065.74
11695,2021-01-10,2021-01-14,Same Day,C-2688,Customer C-2688,Consumer,Tennessee City 3,Tennessee,South,Home & Garden,Decor,Global Decor 746,236.16,9,0.0,2125.44,627.08
10328,2021-01-10,2021-01-13,Same Day,C-1261,Customer C-1261,Consumer,Washington City 1,Washington,West,Furniture,Bookcases,Premium Bookcases 770,913.47,5,0.0,4567.35,1481.29
13947,2021-01-11,2021-01-12,Second Class,C-3921,Customer C-3921,Consumer,Tennessee City 4,Tennessee,South,Technology,Accessories,Premium Accessories 242,576.95,2,0.0,1153.9,401.14
3786,2021-01-11,2021-01-12,Same Day,C-4854,Customer C-4854,Consumer,Massachusetts City 1,Massachusetts,East,Technology,Accessories,Acme Accessories 519,697.37,5,0.3,2440.79,69.61
13350,2021-01-11,2021-01-13,Same Day,C-2169,Customer C-2169,Corporate,Virginia City 2,Virginia,South,Clothing,Trousers,Global Trousers 632,155.93,7,0.2,873.21,124.0
2526,2021-01-11,2021-01-16,Second Class,C-1238,Customer C-1238,Consumer,North Carolina City 3,North Carolina,South,Clothing,Dresses,Global Dresses 365,61.26,7,0.0,428.82,93.3
7850,2021-01-11,2021-01-13,Standard Class,C-3342,Customer C-3342,Home Office,Texas City 3,Texas,Central,Technology,Copiers,Global Copiers 940,1684.37,9,0.0,15159.33,4091.61
13318,2021-01-11,2021-01-12,Same Day,C-2610,Customer C-2610,Corporate,Indiana City 2,Indiana,Central,Home & Garden,Kitchenware,Acme Kitchenware 337,287.29,3,0.0,861.87,264.07
14982,2021-01-11,2021-01-16,First Class,C-4277,Customer C-4277,Consumer,Washington City 1,Washington,West,Clothing,Jackets,Acme Jackets 479,101.06,9,0.0,909.54,343.76
4672,2021-01-11,2021-01-16,Same Day,C-1488,Customer C-1488,Consumer,Virginia City 3,Virginia,South,Furniture,Furnishings,Premium Furnishings 353,798.08,5,0.0,3990.4,875.05
14305,2021-01-11,2021-01-11,Same Day,C-2654,Customer C-2654,Consumer,Tennessee City 3,Tennessee,South,Furniture,Tables,Acme Tables 755,506.59,1,0.2,405.27,48.81
9802,2021-01-11,2021-01-13,Same Day,C-3988,Customer C-3988,Consumer,Florida City 3,Florida,South,Office Supplies,Supplies,Value Supplies 747,29.67,9,0.0,267.03,85.81
7627,2021-01-11,2021-01-16,First Class,C-3939,Customer C-3939,Consumer,Massachusetts City 4,Massachusetts,East,Furniture,Tables,Best Tables 479,541.66,5,0.4,1624.98,-40.03
3127,2021-01-11,2021-01-13,Same Day,C-3257,Customer C-3257,Consumer,Washington City 2,Washington,West,Office Supplies,Fasteners,Value Fasteners 186,87.58,7,0.1,551.75,55.58
501,2021-01-12,2021-01-16,Same Day,C-4768,Customer C-4768,Consumer,Oregon City 4,Oregon,West,Technology,Phones,Acme Phones 440,1001.97,9,0.4,5410.64,-501.18
9789,2021-01-12,2021-01-17,Same Day,C-3827,Customer C-3827,Corporate,New York City 1,New York,East,Office Supplies,Envelopes,Global Envelopes 642,48.49,6,0.3,203.66,-17.94
1790,2021-01-12,2021-01-13,Same Day,C-3215,Customer C-3215,Consumer,Pennsylvania City 4,Pennsylvania,East,Technology,Phones,Best Phones 678,1084.29,1,0.2,867.43,159.91
5778,2021-01-12,2021-01-16,Second Class,C-2053,Customer C-2053,Corporate,Michigan City 2,Michigan,Central,Home & Garden,Decor,Global Decor 723,86.93,6,0.2,417.26,50.36
8333,2021-01-12,2021-01-16,Standard Class,C-2505,Customer C-2505,Consumer,Pennsylvania City 3,Pennsylvania,East,Technology,Phones,Premium Phones 876,1199.98,2,0.0,2399.96,935.26
2210,2021-01-12,2021-01-15,First Class,C-4131,Customer C-4131,Home Office,Ohio City 1,Ohio,East,Furniture,Furnishings,Global Furnishings 124,609.89,4,0.4,1463.74,-15.49
8411,2021-01-12,2021-01-13,Standard Class,C-4076,Customer C-4076,Home Office,North Carolina City 1,North Carolina,South,Furniture,Furnishings,Global Furnishings 506,818.64,4,0.0,3274.56,1180.78
10767,2021-01-13,2021-01-17,Standard Class,C-1840,Customer C-1840,Corporate,Pennsylvania City 4,Pennsylvania,East,Office Supplies,Accessories,Acme Accessories 651,79.47,9,0.0,715.23,199.09
14269,2021-01-13,2021-01-17,First Class,C-3349,Customer C-3349,Corporate,North Carolina City 1,North Carolina,South,Technology,Phones,Value Phones 335,343.17,8,0.4,1647.22,-177.22
13908,2021-01-13,2021-01-15,Standard Class,C-3239,Customer C-3239,Home Office,Virginia City 3,Virginia,South,Technology,Phones,Acme Phones 324,1458.32,3,0.0,4374.96,1219.43
5716,2021-01-13,2021-01-14,Second Class,C-4464,Customer C-4464,Home Office,New York City 1,New York,East,Furniture,Chairs,Acme Chairs 257,787.41,8,0.0,6299.28,1883.16
8552,2021-01-13,2021-01-16,First Class,C-2557,Customer C-2557,Home Office,Pennsylvania City 3,Pennsylvania,East,Furniture,Bookcases,Value Bookcases 962,441.65,1,0.0,441.65,91.2
13291,2021-01-13,2021-01-13,First Class,C-2484,Customer C-2484,Consumer,Arizona City 2,Arizona,West,Office Supplies,Paper,Best Paper 351,82.17,6,0.0,493.02,109.87
3470,2021-01-13,2021-01-17,Same Day,C-3815,Customer C-3815,Consumer,North Carolina City 1,North Carolina,South,Furniture,Furnishings,Value Furnishings 992,664.09,9,0.4,3586.09,-525.93
6607,2021-01-13,2021-01-15,Same Day,C-1268,Customer C-1268,Home Office,North Carolina City 4,North Carolina,South,Technology,Phones,Acme Phones 793,1839.36,8,0.2,11771.9,1820.74
3401,2021-01-13,2021-01-16,Same Day,C-3837,Customer C-3837,Consumer,Indiana City 1,Indiana,Central,Furniture,Bookcases,Value Bookcases 265,394.75,5,0.1,1776.38,507.29
9858,2021-01-13,2021-01-17,Second Class,C-2529,Customer C-2529,Home Office,Florida City 3,Florida,South,Home & Garden,Plants,Value Plants 415,84.82,1,0.0,84.82,29.51
13034,2021-01-13,2021-01-15,Second Class,C-4632,Customer C-4632,Consumer,Pennsylvania City 2,Pennsylvania,East,Technology,Phones,Value Phones 142,1281.49,7,0.0,8970.43,3333.95
13203,2021-01-13,2021-01-15,First Class,C-2402,Customer C-2402,Consumer,Florida City 3,Florida,South,Office Supplies,Paper,Best Paper 190,93.76,3,0.0,281.28,75.54
7542,2021-01-14,2021-01-18,Second Class,C-1410,Customer C-1410,Consumer,Michigan City 2,Michigan,Central,Home & Garden,Decor,Acme Decor 730,115.25,9,0.0,1037.25,320.34
8763,2021-01-14,2021-01-17,Standard Class,C-3104,Customer C-3104,Home Office,Pennsylvania City 2,Pennsylvania,East,Clothing,Dresses,Value Dresses 339,133.76,9,0.0,1203.84,357.24
14272,2021-01-14,2021-01-19,Same Day,C-1132,Customer C-1132,Corporate,Florida City 1,Florida,South,Furniture,Bookcases,Global Bookcases 712,202.41,8,0.0,1619.28,449.35
3212,2021-01-14,2021-01-16,First Class,C-3676,Customer C-3676,Corporate,Florida City 1,Florida,South,Home & Garden,Decor,Global Decor 812,143.53,4,0.0,574.12,208.51
13129,2021-01-14,2021-01-16,Standard Class,C-4806,Customer C-4806,Home Office,Florida City 2,Florida,South,Furniture,Tables,Premium Tables 369,386.72,1,0.0,386.72,130.89
10183,2021-01-14,2021-01-19,Standard Class,C-3957,Customer C-3957,Consumer,Washington City 3,Washington,West,Office Supplies,Supplies,Global Supplies 103,73.64,6,0.2,353.47,4.41
5776,2021-01-14,2021-01-16,Standard Class,C-2533,Customer C-2533,Corporate,Massachusetts City 1,Massachusetts,East,Home & Garden,Plants,Best Plants 624,13.69,4,0.0,54.76,17.95
4696,2021-01-14,2021-01-18,Same Day,C-1981,Customer C-1981,Consumer,California City 3,California,West,Office Supplies,Paper,Premium Paper 396,72.36,2,0.0,144.72,44.79
2139,2021-01-15,2021-01-20,Same Day,C-4125,Customer C-4125,Home Office,Tennessee City 2,Tennessee,South,Technology,Phones,Acme Phones 736,471.75,1,0.1,424.58,54.41
9701,2021-01-15,2021-01-17,Same Day,C-1383,Customer C-1383,Consumer,Illinois City 1,Illinois,Central,Furniture,Bookcases,Best Bookcases 811,223.05,4,0.3,624.54,22.74
2919,2021-01-15,2021-01-17,First Class,C-2790,Customer C-2790,Home Office,Virginia City 1,Virginia,South,Technology,Phones,Premium Phones 826,130.01,4,0.0,520.04,116.61
212,2021-01-15,2021-01-16,First Class,C-4661,Customer C-4661,Corporate,Pennsylvania City 2,Pennsylvania,East,Home & Garden,Plants,Premium Plants 489,58.07,3,0.0,174.21,42.13
13707,2021-01-15,2021-01-16,Same Day,C-2853,Customer C-2853,Home Office,Pennsylvania City 1,Pennsylvania,East,Technology,Machines,Premium Machines 411,1431.73,5,0.0,7158.65,1907.67
2993,2021-01-15,2021-01-18,Same Day,C-1320,Customer C-1320,Consumer,North Carolina City 1,North Carolina,South,Technology,Machines,Premium Machines 494,737.37,8,0.0,5898.96,2135.55
7955,2021-01-15,2021-01-16,Standard Class,C-4776,Customer C-4776,Consumer,North Carolina City 2,North Carolina,South,Home & Garden,Kitchenware,Best Kitchenware 334,189.55,3,0.0,568.65,167.09
675,2021-01-16,2021-01-21,Same Day,C-1606,Customer C-1606,Home Office,Tennessee City 2,Tennessee,South,Clothing,T-Shirts,Value T-Shirts 923,108.89,8,0.1,784.01,157.25
3349,2021-01-16,2021-01-18,Second Class,C-1931,Customer C-1931,Consumer,New York City 2,New York,East,Office Supplies,Binders,Acme Binders 279,68.97,6,0.5,206.91,-49.95
3469,2021-01-16,2021-01-21,Same Day,C-2477,Customer C-2477,Corporate,Massachusetts City 4,Massachusetts,East,Office Supplies,Labels,Premium Labels 654,85.54,2,0.5,85.54,-21.03
9285,2021-01-16,2021-01-16,Second Class,C-2615,Customer C-2615,Consumer,North Carolina City 3,North Carolina,South,Home & Garden,Kitchenware,Best Kitchenware 676,232.36,3,0.0,697.08,196.39
12568,2021-01-16,2021-01-17,Same Day,C-4585,Customer C-4585,Consumer,Texas City 3,Texas,Central,Home & Garden,Kitchenware,Value Kitchenware 805,169.09,3,0.0,507.27,112.41
5004,2021-01-16,2021-01-20,First Class,C-3935,Customer C-3935,Home Office,Indiana City 1,Indiana,Central,Office Supplies,Binders,Premium Binders 395,51.31,3,0.0,153.93,57.62
10423,2021-01-16,2021-01-20,First Class,C-1187,Customer C-1187,Corporate,Florida City 2,Florida,South,Clothing,T-Shirts,Global T-Shirts 797,98.35,5,0.0,491.75,154.31
7937,2021-01-16,2021-01-21,First Class,C-1113,Customer C-1113,Home Office,Arizona City 1,Arizona,West,Technology,Copiers,Best Copiers 615,1921.53,3,0.5,2882.3,-590.4
3007,2021-01-16,2021-01-17,First Class,C-2511,Customer C-2511,Consumer,California City 3,California,West,Clothing,Jackets,Best Jackets 178,27.48,4,0.1,98.93,23.82
5333,2021-01-16,2021-01-21,Standard Class,C-4732,Customer C-4732,Home Office,Oregon City 4,Oregon,West,Office Supplies,Accessories,Value Accessories 380,51.62,7,0.0,361.34,73.05
8175,2021-01-17,2021-01-17,Same Day,C-2181,Customer C-2181,Corporate,North Carolina City 3,North Carolina,South,Home & Garden,Plants,Global Plants 410,182.34,4,0.0,729.36,226.0
14611,2021-01-17,2021-01-22,First Class,C-2678,Customer C-2678,Consumer,Arizona City 2,Arizona,West,Furniture,Tables,Acme Tables 484,427.43,1,0.0,427.43,94.39
2710,2021-01-17,2021-01-22,Second Class,C-3281,Customer C-3281,Home Office,Texas City 3,Texas,Central,Technology,Accessories,Value Accessories 838,257.18,2,0.0,514.36,129.48
12728,2021-01-17,2021-01-18,Standard Class,C-4582,Customer C-4582,Corporate,Massachusetts City 2,Massachusetts,East,Office Supplies,Paper,Global Paper 875,52.12,5,0.0,260.6,66.2
11107,2021-01-17,2021-01-21,Standard Class,C-4962,Customer C-4962,Corporate,Virginia City 1,Virginia,South,Office Supplies,Storage,Premium Storage 922,92.04,2,0.0,184.08,49.31
12261,2021-01-17,2021-01-18,Same Day,C-2833,Customer C-2833,Consumer,Arizona City 4,Arizona,West,Office Supplies,Labels,Best Labels 620,23.74,6,0.0,142.44,53.55
9996,2021-01-17,2021-01-19,First Class,C-1704,Customer C-1704,Consumer,Tennessee City 1,Tennessee,South,Clothing,T-Shirts,Value T-Shirts 193,46.03,1,0.2,36.82,4.7
6872,2021-01-17,2021-01-20,Standard Class,C-4348,Customer C-4348,Corporate,North Carolina City 2,North Carolina,South,Furniture,Chairs,Value Chairs 757,382.83,4,0.0,1531.32,525.71
7616,2021-01-17,2021-01-19,Second Class,C-1295,Customer C-1295,Home Office,Arizona City 2,Arizona,West,Clothing,Dresses,Global Dresses 548,195.59,1,0.0,195.59,45.0
12524,2021-01-17,2021-01-19,Second Class,C-2747,Customer C-2747,Corporate,Massachusetts City 2,Massachusetts,East,Home & Garden,Decor,Global Decor 500,114.81,7,0.2,642.94,36.48
2152,2021-01-17,2021-01-18,First Class,C-2324,Customer C-2324,Corporate,Washington City 4,Washington,West,Home & Garden,Decor,Value Decor 486,19.06,6,0.5,57.18,-14.55
14622,2021-01-17,2021-01-21,Standard Class,C-4603,Customer C-4603,Home Office,Massachusetts City 1,Massachusetts,East,Technology,Copiers,Value Copiers 168,500.22,1,0.0,500.22,159.42
5185,2021-01-18,2021-01-18,First Class,C-3228,Customer C-3228,Consumer,Illinois City 4,Illinois,Central,Technology,Phones,Best Phones 414,311.77,3,0.0,935.31,277.02
861,2021-01-18,2021-01-20,Standard Class,C-2098,Customer C-2098,Corporate,Tennessee City 2,Tennessee,South,Technology,Machines,Global Machines 877,1037.63,4,0.4,2490.31,-425.89
14946,2021-01-18,2021-01-19,Second Class,C-1001,Customer C-1001,Consumer,New York City 4,New York,East,Technology,Copiers,Acme Copiers 443,104.98,1,0.4,62.99,-3.44
4134,2021-01-18,2021-01-23,Standard Class,C-3559,Customer C-3559,Consumer,Oregon City 2,Oregon,West,Furniture,Bookcases,Value Bookcases 675,768.91,1,0.5,384.46,-53.23
2992,2021-01-18,2021-01-20,Same Day,C-2242,Customer C-2242,Home Office,Tennessee City 2,Tennessee,South,Clothing,Jackets,Acme Jackets 749,151.99,4,0.2,486.37,40.87
12248,2021-01-18,2021-01-19,Second Class,C-2842,Customer C-2842,Consumer,Tennessee City 2,Tennessee,South,Office Supplies,Envelopes,Best Envelopes 344,49.49,5,0.0,247.45,70.73
12407,2021-01-18,2021-01-18,Same Day,C-1977,Customer C-1977,Consumer,Virginia City 3,Virginia,South,Technology,Machines,Acme Machines 572,1393.74,8,0.0,11149.92,3952.94
623,2021-01-18,2021-01-19,Same Day,C-3313,Customer C-3313,Consumer,Oregon City 1,Oregon,West,Home & Garden,Plants,Acme Plants 547,294.49,4,0.0,1177.96,447.18
4774,2021-01-18,2021-01-23,Standard Class,C-4903,Customer C-4903,Consumer,Florida City 4,Florida,South,Furniture,Bookcases,Premium Bookcases 387,909.03,9,0.0,8181.27,2106.87
