Customer ID,Recency,Frequency,Monetary,Cluster,Segment
C-1100,178,3,3516.32,0,Mid Value
C-1101,103,6,10474.24,1,High Value
C-1102,48,4,8262.7175,1,High Value
C-1103,694,3,1374.42,2,Low Value
C-1104,742,2,5247.3675,2,Low Value
C-1105,103,4,3418.65,0,Mid Value
C-1106,100,4,10741.185000000001,1,High Value
C-1107,359,6,4134.96,1,High Value
C-1108,509,4,2165.8199999999997,0,Mid Value
C-1109,447,1,349.01,2,Low Value
C-1110,1264,1,559.53,2,Low Value
C-1111,21,4,5708.4875,0,Mid Value
C-1112,103,3,1396.65,0,Mid Value
C-1113,1043,2,3880.26,2,Low Value
C-1114,444,1,390.03,2,Low Value
C-1115,294,1,118.77,0,Mid Value
C-1116,56,6,8180.16,1,High Value
C-1117,576,3,5754.507500000001,2,Low Value
C-1118,194,4,4607.27,0,Mid Value
C-1119,169,3,2759.27,0,Mid Value
C-1120,396,4,10928.6675,1,High Value
C-1121,979,2,5314.5275,2,Low Value
C-1122,703,2,357.93,2,Low Value
C-1123,262,6,1304.69,0,Mid Value
C-1124,44,4,7086.91,0,Mid Value
C-1125,116,7,3034.61,1,High Value
C-1126,191,6,10473.1175,1,High Value
C-1127,521,2,369.64,2,Low Value
C-1128,111,4,4289.27,0,Mid Value
C-1129,520,1,2853.54,2,Low Value
C-1130,163,3,1219.18,0,Mid Value
C-1131,258,2,689.49,0,Mid Value
C-1132,285,4,3951.95,0,Mid Value
C-1133,329,4,2357.1800000000003,0,Mid Value
C-1134,697,2,1563.37,2,Low Value
C-1135,223,3,2625.84,0,Mid Value
C-1136,103,5,8696.657500000001,1,High Value
C-1137,904,3,2834.19,2,Low Value
C-1138,83,3,939.6,0,Mid Value
C-1139,1186,3,2520.09,2,Low Value
C-1140,157,4,1485.78,0,Mid Value
C-1141,485,4,4369.03,0,Mid Value
C-1142,710,4,4972.35,2,Low Value
C-1143,650,2,2379.7200000000003,2,Low Value
C-1144,153,6,10139.45,1,High Value
C-1145,1219,1,233.82,2,Low Value
C-1146,106,3,1073.85,0,Mid Value
C-1147,54,7,13698.14,1,High Value
C-1148,85,4,6068.5675,0,Mid Value
C-1149,136,6,14899.4975,1,High Value
C-1150,207,3,2064.81,0,Mid Value
C-1151,96,6,4845.57,1,High Value
C-1152,23,3,6105.11,0,Mid Value
C-1153,7,4,6639.2475,0,Mid Value
C-1154,496,5,7080.68,1,High Value
C-1155,148,2,1229.52,0,Mid Value
C-1156,6,7,7901.547500000001,1,High Value
C-1157,301,6,3827.52,0,Mid Value
C-1158,345,5,2182.08,0,Mid Value
C-1159,74,4,5429.84,0,Mid Value
C-1160,149,2,5395.687500000001,0,Mid Value
C-1161,65,5,14615.635000000002,1,High Value
C-1162,1320,1,155.66,2,Low Value
C-1163,305,4,452.81,0,Mid Value
C-1164,74,2,6655.6675000000005,0,Mid Value
C-1165,69,4,2445.63,0,Mid Value
C-1166,732,3,4818.13,2,Low Value
C-1167,377,2,2709.0699999999997,0,Mid Value
C-1168,303,1,135.12,0,Mid Value
C-1169,130,7,12383.865000000002,1,High Value
C-1170,539,4,1006.95,0,Mid Value
C-1171,236,6,14373.665,1,High Value
C-1172,266,6,5192.33,1,High Value
C-1173,419,6,14366.865000000002,1,High Value
C-1174,23,2,591.8,0,Mid Value
C-1175,95,5,5778.37,1,High Value
C-1176,791,1,283.08,2,Low Value
C-1177,238,6,7548.797500000001,1,High Value
C-1178,750,2,3085.3900000000003,2,Low Value
C-1179,404,3,1681.3400000000001,0,Mid Value
C-1180,292,8,8345.337500000001,1,High Value
C-1181,1326,1,4666.087500000001,2,Low Value
C-1182,157,2,3260.93,0,Mid Value
C-1183,344,6,5818.687500000001,1,High Value
C-1184,127,5,12013.907500000001,1,High Value
C-1185,84,5,6541.95,1,High Value
C-1186,38,8,4323.400000000001,1,High Value
C-1187,279,5,2260.62,0,Mid Value
C-1188,386,7,11519.847500000002,1,High Value
C-1189,401,10,10344.75,1,High Value
C-1190,692,3,6554.49,2,Low Value
C-1191,15,6,5586.267500000001,1,High Value
C-1192,60,5,8873.5975,1,High Value
C-1193,116,2,2590.09,0,Mid Value
C-1194,247,5,7333.3775000000005,1,High Value
C-1195,178,7,14334.165,1,High Value
C-1196,670,5,11566.869999999999,1,High Value
C-1197,24,3,4170.9,0,Mid Value
C-1198,867,3,1746.47,2,Low Value
C-1199,213,4,5244.34,0,Mid Value
C-1200,40,6,2043.03,0,Mid Value
C-1201,695,1,4666.087500000001,2,Low Value
C-1202,364,1,21.47,0,Mid Value
C-1203,721,2,735.64,2,Low Value
C-1204,777,1,639.36,2,Low Value
C-1205,295,6,7377.04,1,High Value
C-1206,1451,1,4666.087500000001,2,Low Value
C-1207,312,4,5167.6900000000005,0,Mid Value
C-1208,164,2,620.12,0,Mid Value
C-1209,59,2,911.4399999999999,0,Mid Value
C-1210,97,3,1318.97,0,Mid Value
C-1211,1348,1,343.44,2,Low Value
C-1212,100,2,1304.48,0,Mid Value
C-1213,216,5,8516.757500000002,1,High Value
C-1214,20,5,9763.285,1,High Value
C-1215,142,6,11129.737500000001,1,High Value
C-1216,166,5,6419.97,1,High Value
C-1217,371,4,6166.74,0,Mid Value
C-1218,500,5,6922.3975,1,High Value
C-1219,11,5,7226.217500000001,1,High Value
C-1220,393,7,11819.965,1,High Value
C-1221,80,2,1983.71,0,Mid Value
C-1222,239,7,8074.887500000001,1,High Value
C-1223,500,3,3821.48,0,Mid Value
C-1224,520,2,1778.71,2,Low Value
C-1225,576,2,4808.7375,2,Low Value
C-1226,19,7,8889.5,1,High Value
C-1227,500,3,5228.87,0,Mid Value
C-1228,248,4,10352.625000000002,1,High Value
C-1229,314,8,8319.48,1,High Value
C-1230,148,8,11403.3575,1,High Value
C-1231,210,2,4942.6275000000005,0,Mid Value
C-1232,164,3,4789.047500000001,0,Mid Value
C-1233,501,4,5274.8675,0,Mid Value
C-1234,369,4,6985.797500000001,0,Mid Value
C-1235,47,6,2387.89,0,Mid Value
C-1236,19,5,1114.38,0,Mid Value
C-1237,520,2,5453.967500000001,2,Low Value
C-1238,1450,1,428.82,2,Low Value
C-1239,148,5,4827.6,0,Mid Value
C-1240,19,4,6260.887500000001,0,Mid Value
C-1241,48,4,7201.16,0,Mid Value
C-1242,103,4,6631.3775000000005,0,Mid Value
C-1243,156,2,3437.9100000000003,0,Mid Value
C-1244,439,4,7249.9075,0,Mid Value
C-1245,57,6,7690.83,1,High Value
C-1246,336,6,8041.8675,1,High Value
C-1247,86,2,4856.2875,0,Mid Value
C-1248,777,1,723.4,2,Low Value
C-1249,27,5,8074.147500000001,1,High Value
C-1250,250,3,834.67,0,Mid Value
C-1251,69,5,5445.3,0,Mid Value
C-1252,485,3,6813.137500000001,0,Mid Value
C-1253,92,5,6697.6575,1,High Value
C-1254,1232,1,1772.93,2,Low Value
C-1256,280,5,6595.99,1,High Value
C-1257,262,4,4773.04,0,Mid Value
C-1258,578,2,478.78000000000003,2,Low Value
C-1259,454,2,383.95000000000005,0,Mid Value
C-1260,777,2,3434.06,2,Low Value
C-1261,186,4,5765.860000000001,0,Mid Value
C-1262,340,2,4692.4575,0,Mid Value
C-1263,32,10,9347.29,1,High Value
C-1264,53,3,10083.955000000002,1,High Value
C-1265,465,4,11012.365000000002,1,High Value
C-1266,249,3,9863.385000000002,1,High Value
C-1267,756,3,5488.177500000001,2,Low Value
C-1268,13,3,9413.755000000001,1,High Value
C-1269,1226,1,4666.087500000001,2,Low Value
C-1270,883,1,225.66,2,Low Value
C-1271,142,5,6317.599999999999,1,High Value
C-1272,24,4,3856.5699999999997,0,Mid Value
C-1273,49,6,8850.7675,1,High Value
C-1274,239,1,131.64,0,Mid Value
C-1275,18,6,9503.14,1,High Value
C-1276,804,3,1497.5300000000002,2,Low Value
C-1277,454,3,5381.530000000001,0,Mid Value
C-1278,64,7,4395.639999999999,1,High Value
C-1279,789,2,2314.69,2,Low Value
C-1280,522,1,1007.82,2,Low Value
C-1281,104,6,6841.92,1,High Value
C-1282,369,3,2250.19,0,Mid Value
C-1283,80,2,1517.8600000000001,0,Mid Value
C-1284,503,6,11618.857500000002,1,High Value
C-1285,135,3,6516.3099999999995,0,Mid Value
C-1286,1260,1,542.04,2,Low Value
C-1287,477,4,9798.747500000001,1,High Value
C-1288,113,6,12801.27,1,High Value
C-1289,573,3,5323.7075,2,Low Value
C-1290,658,4,5514.4375,2,Low Value
C-1291,288,3,2347.92,0,Mid Value
C-1292,468,2,2585.5200000000004,0,Mid Value
C-1293,199,2,3056.27,0,Mid Value
C-1294,406,3,5319.857500000001,0,Mid Value
C-1295,395,6,13189.715000000002,1,High Value
C-1296,190,3,2248.0699999999997,0,Mid Value
C-1297,132,2,801.9,0,Mid Value
C-1298,13,3,1748.3999999999999,0,Mid Value
C-1299,729,4,5859.17,2,Low Value
C-1300,232,3,3087.36,0,Mid Value
C-1301,562,4,4895.950000000001,0,Mid Value
C-1302,385,1,4666.087500000001,0,Mid Value
C-1303,6,5,11257.96,1,High Value
C-1304,734,3,4365.18,2,Low Value
C-1305,244,4,9518.715,1,High Value
C-1306,79,3,3769.6800000000003,0,Mid Value
C-1307,49,3,6350.16,0,Mid Value
C-1308,160,6,3659.7906432695668,0,Mid Value
C-1309,389,6,8464.51,1,High Value
C-1310,364,4,10656.1775,1,High Value
C-1311,183,6,9080.9475,1,High Value
C-1312,236,4,7115.91,0,Mid Value
C-1313,539,3,5505.867500000001,0,Mid Value
C-1314,209,5,9870.0575,1,High Value
C-1315,266,4,6792.28,0,Mid Value
C-1316,160,5,3396.05,0,Mid Value
C-1317,55,6,9921.6175,1,High Value
C-1318,365,3,8830.1675,0,Mid Value
C-1319,33,2,1378.2,0,Mid Value
C-1320,556,4,13188.335000000001,1,High Value
C-1321,281,5,1331.8400000000001,0,Mid Value
C-1322,42,4,6925.49,0,Mid Value
C-1323,325,4,5402.75,0,Mid Value
C-1324,295,6,5585.75,1,High Value
C-1325,320,2,620.9100000000001,0,Mid Value
C-1326,258,3,5083.3275,0,Mid Value
C-1327,617,2,7585.02,2,Low Value
C-1328,77,3,3469.38,0,Mid Value
C-1329,16,5,10471.1275,1,High Value
C-1330,148,4,5719.42,0,Mid Value
C-1331,848,1,309.3,2,Low Value
C-1332,402,3,1201.48,0,Mid Value
C-1333,480,7,6300.21,1,High Value
C-1334,76,2,2320.51,0,Mid Value
C-1335,362,3,10341.435000000001,1,High Value
C-1336,808,2,4794.017500000001,2,Low Value
C-1337,209,8,8406.18,1,High Value
C-1338,419,3,2221.4700000000003,0,Mid Value
C-1339,188,5,5789.507500000001,1,High Value
C-1340,1120,1,4666.087500000001,2,Low Value
C-1341,78,5,8508.4775,1,High Value
C-1342,113,5,11151.83,1,High Value
C-1343,193,4,9844.415,1,High Value
C-1344,200,4,3843.21,0,Mid Value
C-1345,154,5,3439.45,0,Mid Value
C-1346,79,3,6554.39,0,Mid Value
C-1347,4,4,6546.7475,0,Mid Value
C-1348,146,5,11066.3475,1,High Value
C-1349,148,2,4705.177500000001,0,Mid Value
C-1350,219,3,3298.55,0,Mid Value
C-1351,5,7,7993.287500000001,1,High Value
C-1352,76,3,8009.967500000001,0,Mid Value
C-1353,280,3,9643.7075,1,High Value
C-1354,127,7,5099.65,1,High Value
C-1355,381,3,3376.65,0,Mid Value
C-1356,103,4,1999.11,0,Mid Value
C-1357,30,3,2898.0,0,Mid Value
C-1358,21,7,13472.487500000001,1,High Value
C-1359,397,4,2503.74,0,Mid Value
C-1360,222,5,3098.8199999999997,0,Mid Value
C-1361,1000,5,4743.06,2,Low Value
C-1362,16,6,8739.107500000002,1,High Value
C-1363,171,3,4098.68,0,Mid Value
C-1364,465,2,716.13,0,Mid Value
C-1365,590,3,5640.42,2,Low Value
C-1366,170,4,1319.25,0,Mid Value
C-1367,1412,1,507.02,2,Low Value
C-1368,51,8,8909.2175,1,High Value
C-1369,236,2,1199.52,0,Mid Value
C-1370,95,6,8434.7975,1,High Value
C-1371,86,4,9508.337500000001,1,High Value
C-1372,31,3,4739.4,0,Mid Value
C-1373,750,3,4854.357500000001,2,Low Value
C-1374,229,3,4280.030000000001,0,Mid Value
C-1375,57,9,12244.51,1,High Value
C-1376,464,5,5730.719999999999,0,Mid Value
C-1377,420,4,16321.955000000002,1,High Value
C-1378,467,2,2562.48,0,Mid Value
C-1379,578,6,9437.84,1,High Value
C-1380,134,6,8651.407500000001,1,High Value
C-1381,301,3,4968.3275,0,Mid Value
C-1382,1261,1,977.0,2,Low Value
C-1383,745,3,1206.6,2,Low Value
C-1384,100,4,1983.78,0,Mid Value
C-1385,188,3,1552.31,0,Mid Value
C-1386,374,5,1663.6,0,Mid Value
C-1387,370,2,1433.8,0,Mid Value
C-1388,191,2,5227.937500000001,0,Mid Value
C-1389,984,4,9388.6775,2,Low Value
C-1390,1309,1,238.38,2,Low Value
C-1391,458,3,3934.6,0,Mid Value
C-1392,4,3,6794.68,0,Mid Value
C-1393,174,2,1524.73,0,Mid Value
C-1394,1028,4,10303.237500000001,2,Low Value
C-1395,242,4,4339.46,0,Mid Value
C-1396,93,5,8568.060000000001,1,High Value
C-1397,191,4,10479.495,1,High Value
C-1398,591,5,5996.6175,0,Mid Value
C-1399,224,6,14910.785,1,High Value
C-1400,101,6,7122.049999999999,1,High Value
C-1401,76,1,3195.96,0,Mid Value
C-1402,351,4,8192.630000000001,1,High Value
C-1403,58,3,5454.77,0,Mid Value
C-1404,7,10,4497.49,1,High Value
C-1405,235,9,9553.6275,1,High Value
C-1406,265,2,2446.28,0,Mid Value
C-1407,214,5,4514.530000000001,0,Mid Value
C-1408,120,3,7101.700000000001,0,Mid Value
C-1409,157,4,7369.837500000001,0,Mid Value
C-1410,88,6,11335.847500000002,1,High Value
C-1411,208,3,3581.19,0,Mid Value
C-1412,925,2,2216.1,2,Low Value
C-1413,298,2,1283.31,0,Mid Value
C-1414,274,3,1992.3600000000001,0,Mid Value
C-1415,286,5,8744.9575,1,High Value
C-1416,1066,3,5017.5775,2,Low Value
C-1417,524,1,87.97,2,Low Value
C-1418,217,5,11109.935000000001,1,High Value
C-1419,50,9,12815.6375,1,High Value
C-1420,197,5,8144.9175000000005,1,High Value
C-1421,482,2,4602.3099999999995,0,Mid Value
C-1422,189,4,6689.9400000000005,0,Mid Value
C-1423,450,4,6990.887500000001,0,Mid Value
C-1424,370,3,1096.71,0,Mid Value
C-1425,875,3,1597.46,2,Low Value
C-1426,20,4,7671.077500000001,1,High Value
C-1427,83,4,10494.3475,1,High Value
C-1428,229,5,12964.865000000002,1,High Value
C-1429,283,3,9411.1275,0,Mid Value
C-1430,462,2,3157.83,0,Mid Value
C-1431,89,3,5069.5275,0,Mid Value
C-1432,775,2,4117.7,2,Low Value
C-1433,175,3,5712.1275000000005,0,Mid Value
C-1434,215,3,1645.74,0,Mid Value
C-1435,1053,1,423.78,2,Low Value
C-1436,57,3,1076.63,0,Mid Value
C-1437,813,2,1507.73,2,Low Value
C-1438,316,3,8832.2775,0,Mid Value
C-1439,221,5,4264.09,0,Mid Value
C-1440,210,3,5014.1575,0,Mid Value
C-1441,645,3,1205.37,2,Low Value
C-1442,89,8,13345.865000000002,1,High Value
C-1443,8,4,5631.6675000000005,0,Mid Value
C-1444,92,2,1148.04,0,Mid Value
C-1445,374,6,2630.56,0,Mid Value
C-1446,100,3,4506.49,0,Mid Value
C-1447,586,4,2972.46,0,Mid Value
C-1448,8,3,2250.33,0,Mid Value
C-1449,437,2,636.26,0,Mid Value
C-1450,124,3,5629.05,0,Mid Value
C-1451,1094,2,6536.4800000000005,2,Low Value
C-1452,163,2,1900.54,0,Mid Value
C-1453,435,4,7555.967500000001,0,Mid Value
C-1454,959,3,9382.895,2,Low Value
C-1455,696,2,378.51,2,Low Value
C-1456,13,8,15288.545000000002,1,High Value
C-1457,185,3,3889.24,0,Mid Value
C-1458,252,3,10140.8575,1,High Value
C-1459,1108,1,1880.62,2,Low Value
C-1460,134,1,39.83,0,Mid Value
C-1461,76,9,10792.757500000002,1,High Value
C-1462,843,2,746.6,2,Low Value
C-1463,613,3,748.1500000000001,2,Low Value
C-1464,341,5,8258.6075,1,High Value
C-1465,309,2,927.45,0,Mid Value
C-1466,14,7,11288.745,1,High Value
C-1467,71,5,7291.0975,1,High Value
C-1468,936,2,2661.5,2,Low Value
C-1469,1234,1,133.02,2,Low Value
C-1470,412,1,1686.58,0,Mid Value
C-1471,304,4,1412.8300000000002,0,Mid Value
C-1472,102,2,4704.397500000001,0,Mid Value
C-1473,168,4,1170.63,0,Mid Value
C-1474,73,5,6778.9975,1,High Value
C-1475,535,3,928.11,2,Low Value
C-1476,129,2,4846.357500000001,0,Mid Value
C-1477,406,4,7670.557500000001,0,Mid Value
C-1478,380,1,123.21,0,Mid Value
C-1479,469,4,5295.92,0,Mid Value
C-1480,241,4,8612.417500000001,1,High Value
C-1481,210,4,4285.0,0,Mid Value
C-1482,161,4,1608.8200000000002,0,Mid Value
C-1483,524,4,10396.375,1,High Value
C-1484,539,1,720.21,2,Low Value
C-1485,355,4,14295.892500000002,1,High Value
C-1486,109,2,3350.23,0,Mid Value
C-1487,1175,1,2411.06,2,Low Value
C-1488,419,7,16970.26,1,High Value
C-1489,34,8,12536.055000000002,1,High Value
C-1490,294,2,1519.27,0,Mid Value
C-1491,253,5,6044.2075,1,High Value
C-1492,185,5,11079.775000000001,1,High Value
C-1493,54,3,4867.967500000001,0,Mid Value
C-1494,420,3,2690.06,0,Mid Value
C-1495,94,5,1971.8700000000001,0,Mid Value
C-1496,9,4,5176.66,0,Mid Value
C-1497,720,2,633.76,2,Low Value
C-1498,39,2,5065.427500000001,0,Mid Value
C-1499,1376,2,605.82,2,Low Value
C-1500,5,5,7663.7,1,High Value
C-1501,181,5,2762.4100000000003,0,Mid Value
C-1502,23,5,3078.87,0,Mid Value
C-1503,409,3,7391.307500000001,0,Mid Value
C-1504,418,6,9766.6275,1,High Value
C-1505,204,3,4992.47,0,Mid Value
C-1506,57,1,339.5,0,Mid Value
C-1507,91,5,10117.2775,1,High Value
C-1508,68,7,12108.835000000001,1,High Value
C-1509,178,4,13649.905,1,High Value
C-1510,353,4,3027.76,0,Mid Value
C-1511,66,7,11163.715000000002,1,High Value
C-1513,120,9,19892.815000000002,1,High Value
C-1514,658,5,8575.0375,1,High Value
C-1515,1040,1,1104.4,2,Low Value
C-1516,485,5,6931.3975,1,High Value
C-1518,801,3,1323.53,2,Low Value
C-1519,423,1,1403.64,0,Mid Value
C-1520,322,5,10673.0475,1,High Value
C-1521,322,7,8425.75,1,High Value
C-1522,40,4,10307.87279360758,1,High Value
C-1523,100,3,8312.987500000001,0,Mid Value
C-1524,90,9,9071.81,1,High Value
C-1525,388,3,4938.289995572904,0,Mid Value
C-1526,1252,1,2988.88,2,Low Value
C-1527,495,5,6040.557500000001,1,High Value
C-1528,62,3,6710.9375,0,Mid Value
C-1529,671,4,4835.88,2,Low Value
C-1530,622,2,3414.8999999999996,2,Low Value
C-1531,35,3,2866.84,0,Mid Value
C-1532,195,12,22816.145,1,High Value
C-1533,395,3,6524.63,0,Mid Value
C-1534,9,4,4389.2,0,Mid Value
C-1535,341,1,1233.09,0,Mid Value
C-1536,646,6,4143.36,0,Mid Value
C-1537,170,6,7321.35,1,High Value
C-1538,159,2,5146.647500000001,0,Mid Value
C-1539,33,8,17527.245000000003,1,High Value
C-1540,313,5,13242.147500000001,1,High Value
C-1541,170,10,20040.0175,1,High Value
C-1542,25,2,1079.0700000000002,0,Mid Value
C-1544,429,4,8067.047500000001,1,High Value
C-1545,202,5,10324.195,1,High Value
C-1546,158,4,5733.157500000001,0,Mid Value
C-1547,100,2,916.37,0,Mid Value
C-1548,383,2,161.65,0,Mid Value
C-1549,6,3,1015.01,0,Mid Value
C-1550,424,3,1282.33,0,Mid Value
C-1551,10,6,5499.73,1,High Value
C-1552,479,3,4845.4,0,Mid Value
C-1553,104,3,6966.577500000001,0,Mid Value
C-1554,576,3,8645.2175,0,Mid Value
C-1555,644,5,6102.3275,1,High Value
C-1556,262,4,5788.88,0,Mid Value
C-1557,135,7,7285.5975,1,High Value
C-1558,105,5,6110.86,1,High Value
C-1559,149,4,9376.7675,1,High Value
C-1560,169,2,1835.0400000000002,0,Mid Value
C-1562,336,4,6460.1475,0,Mid Value
C-1563,120,2,994.02,0,Mid Value
C-1564,103,4,2557.68,0,Mid Value
C-1565,223,2,3946.8999999999996,0,Mid Value
C-1566,30,5,7025.397500000001,1,High Value
C-1567,97,8,9433.05,1,High Value
C-1568,166,4,7775.547500000001,1,High Value
C-1569,189,6,14740.242500000002,1,High Value
C-1571,70,3,3613.78,0,Mid Value
C-1572,17,8,2633.2400000000002,1,High Value
C-1573,996,1,86.24,2,Low Value
C-1574,428,4,3943.06,0,Mid Value
C-1575,261,3,11500.396384271422,1,High Value
C-1577,155,3,2912.23,0,Mid Value
C-1578,199,2,335.8,0,Mid Value
C-1579,792,3,3188.26,2,Low Value
C-1580,577,6,7352.187500000001,1,High Value
C-1581,339,5,3404.5899999999997,0,Mid Value
C-1582,398,1,4666.087500000001,0,Mid Value
C-1583,599,2,327.78000000000003,2,Low Value
C-1584,279,3,10214.259999999998,1,High Value
C-1585,102,5,5276.99,0,Mid Value
C-1586,405,7,14766.1475,1,High Value
C-1587,5,7,2221.3,1,High Value
C-1588,212,5,11815.417500000001,1,High Value
C-1589,69,7,9758.27,1,High Value
C-1590,814,2,1974.96,2,Low Value
C-1591,42,5,11856.2275,1,High Value
C-1592,676,2,4366.67,2,Low Value
C-1593,30,9,12762.965000000002,1,High Value
C-1594,1127,2,460.25,2,Low Value
C-1595,340,3,756.3399999999999,0,Mid Value
C-1596,22,5,10017.307499999999,1,High Value
C-1597,326,3,2150.66,0,Mid Value
C-1598,318,2,1694.3999999999999,0,Mid Value
C-1599,245,5,6971.617500000001,1,High Value
C-1600,171,6,3838.7200000000003,1,High Value
C-1601,1001,1,3543.52,2,Low Value
C-1602,251,5,2322.76,0,Mid Value
C-1603,736,1,4666.087500000001,2,Low Value
C-1604,88,4,2224.0299999999997,0,Mid Value
C-1605,335,4,13418.715,1,High Value
C-1606,8,7,8316.7075,1,High Value
C-1607,184,6,9377.4475,1,High Value
C-1608,328,6,6142.46,1,High Value
C-1609,158,5,3731.2700000000004,0,Mid Value
C-1610,406,4,7056.1175,0,Mid Value
C-1611,29,7,14574.365000000002,1,High Value
C-1612,616,3,9516.945000000002,2,Low Value
C-1613,611,6,14227.2275,1,High Value
C-1614,813,1,41.8,2,Low Value
C-1615,7,5,7143.067500000001,1,High Value
C-1616,56,6,10987.955000000002,1,High Value
C-1617,103,4,3146.2799999999997,0,Mid Value
C-1618,20,5,5091.87,0,Mid Value
C-1619,79,4,2940.92,0,Mid Value
C-1620,752,3,4553.71,2,Low Value
C-1621,698,3,6672.8275,2,Low Value
C-1622,32,3,2253.79,0,Mid Value
C-1623,745,3,2564.86,2,Low Value
C-1624,251,1,19.77,0,Mid Value
C-1625,7,5,14101.995512246971,1,High Value
C-1626,27,4,3005.85,0,Mid Value
C-1627,326,7,7484.24,1,High Value
C-1628,419,2,763.13,0,Mid Value
C-1629,343,5,7030.1075,1,High Value
C-1630,331,4,8602.667500000001,1,High Value
C-1631,375,6,5799.397500000001,1,High Value
C-1632,145,1,152.81,0,Mid Value
